solvent,SMILES,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
alkane,CCCC.CCC(C)C,ET30,-1.5027903144106811,alpha,-0.5624739952482177,beta,-1.4724423691852782,pi_star,-2.4648141522727722,SA,-0.5896346870860927,SB,-1.23731304659502,SP,-1.6599463760898177,SdP,-1.520385016202206,N_mol_cm3,-0.257225114517863,n,-1.2852514089901048,fn,-1.0961559047332747,delta,-1.4131545443625488
alkane,CCCC.CCC(C)C,ET30,-1.5027903144106811,beta,-1.4724423691852782,alpha,-0.5624739952482177,pi_star,-2.4648141522727722,SA,-0.5896346870860927,SB,-1.23731304659502,SP,-1.6599463760898177,SdP,-1.520385016202206,N_mol_cm3,-0.257225114517863,n,-1.2852514089901048,fn,-1.0961559047332747,delta,-1.4131545443625488
alkane,CCCC.CCC(C)C,alpha,-0.5624739952482177,ET30,-1.5027903144106811,beta,-1.4724423691852782,pi_star,-2.4648141522727722,SA,-0.5896346870860927,SB,-1.23731304659502,SP,-1.6599463760898177,SdP,-1.520385016202206,N_mol_cm3,-0.257225114517863,n,-1.2852514089901048,fn,-1.0961559047332747,delta,-1.4131545443625488
alkane,CCCC.CCC(C)C,alpha,-0.5624739952482177,beta,-1.4724423691852782,ET30,-1.5027903144106811,pi_star,-2.4648141522727722,SA,-0.5896346870860927,SB,-1.23731304659502,SP,-1.6599463760898177,SdP,-1.520385016202206,N_mol_cm3,-0.257225114517863,n,-1.2852514089901048,fn,-1.0961559047332747,delta,-1.4131545443625488
alkane,CCCC.CCC(C)C,beta,-1.4724423691852782,ET30,-1.5027903144106811,alpha,-0.5624739952482177,pi_star,-2.4648141522727722,SA,-0.5896346870860927,SB,-1.23731304659502,SP,-1.6599463760898177,SdP,-1.520385016202206,N_mol_cm3,-0.257225114517863,n,-1.2852514089901048,fn,-1.0961559047332747,delta,-1.4131545443625488
alkane,CCCC.CCC(C)C,beta,-1.4724423691852782,alpha,-0.5624739952482177,ET30,-1.5027903144106811,pi_star,-2.4648141522727722,SA,-0.5896346870860927,SB,-1.23731304659502,SP,-1.6599463760898177,SdP,-1.520385016202206,N_mol_cm3,-0.257225114517863,n,-1.2852514089901048,fn,-1.0961559047332747,delta,-1.4131545443625488
alkane,C(CC)C.CCC(C)C,ET30,-1.5027903144106811,alpha,-0.5624739952482177,beta,-1.4724423691852782,pi_star,-2.4648141522727722,SA,-0.5896346870860927,SB,-1.23731304659502,SP,-1.6599463760898177,SdP,-1.520385016202206,N_mol_cm3,-0.257225114517863,n,-1.2852514089901048,fn,-1.0961559047332747,delta,-1.4131545443625488
alkane,C(CC)C.CCC(C)C,ET30,-1.5027903144106811,beta,-1.4724423691852782,alpha,-0.5624739952482177,pi_star,-2.4648141522727722,SA,-0.5896346870860927,SB,-1.23731304659502,SP,-1.6599463760898177,SdP,-1.520385016202206,N_mol_cm3,-0.257225114517863,n,-1.2852514089901048,fn,-1.0961559047332747,delta,-1.4131545443625488
alkane,C(CC)C.CCC(C)C,alpha,-0.5624739952482177,ET30,-1.5027903144106811,beta,-1.4724423691852782,pi_star,-2.4648141522727722,SA,-0.5896346870860927,SB,-1.23731304659502,SP,-1.6599463760898177,SdP,-1.520385016202206,N_mol_cm3,-0.257225114517863,n,-1.2852514089901048,fn,-1.0961559047332747,delta,-1.4131545443625488
alkane,C(CC)C.CCC(C)C,alpha,-0.5624739952482177,beta,-1.4724423691852782,ET30,-1.5027903144106811,pi_star,-2.4648141522727722,SA,-0.5896346870860927,SB,-1.23731304659502,SP,-1.6599463760898177,SdP,-1.520385016202206,N_mol_cm3,-0.257225114517863,n,-1.2852514089901048,fn,-1.0961559047332747,delta,-1.4131545443625488
alkane,C(CC)C.CCC(C)C,beta,-1.4724423691852782,ET30,-1.5027903144106811,alpha,-0.5624739952482177,pi_star,-2.4648141522727722,SA,-0.5896346870860927,SB,-1.23731304659502,SP,-1.6599463760898177,SdP,-1.520385016202206,N_mol_cm3,-0.257225114517863,n,-1.2852514089901048,fn,-1.0961559047332747,delta,-1.4131545443625488
alkane,C(CC)C.CCC(C)C,beta,-1.4724423691852782,alpha,-0.5624739952482177,ET30,-1.5027903144106811,pi_star,-2.4648141522727722,SA,-0.5896346870860927,SB,-1.23731304659502,SP,-1.6599463760898177,SdP,-1.520385016202206,N_mol_cm3,-0.257225114517863,n,-1.2852514089901048,fn,-1.0961559047332747,delta,-1.4131545443625488
alkane,C(C)CC.CCC(C)C,ET30,-1.5027903144106811,alpha,-0.5624739952482177,beta,-1.4724423691852782,pi_star,-2.4648141522727722,SA,-0.5896346870860927,SB,-1.23731304659502,SP,-1.6599463760898177,SdP,-1.520385016202206,N_mol_cm3,-0.257225114517863,n,-1.2852514089901048,fn,-1.0961559047332747,delta,-1.4131545443625488
alkane,C(C)CC.CCC(C)C,ET30,-1.5027903144106811,beta,-1.4724423691852782,alpha,-0.5624739952482177,pi_star,-2.4648141522727722,SA,-0.5896346870860927,SB,-1.23731304659502,SP,-1.6599463760898177,SdP,-1.520385016202206,N_mol_cm3,-0.257225114517863,n,-1.2852514089901048,fn,-1.0961559047332747,delta,-1.4131545443625488
alkane,C(C)CC.CCC(C)C,alpha,-0.5624739952482177,ET30,-1.5027903144106811,beta,-1.4724423691852782,pi_star,-2.4648141522727722,SA,-0.5896346870860927,SB,-1.23731304659502,SP,-1.6599463760898177,SdP,-1.520385016202206,N_mol_cm3,-0.257225114517863,n,-1.2852514089901048,fn,-1.0961559047332747,delta,-1.4131545443625488
alkane,C(C)CC.CCC(C)C,alpha,-0.5624739952482177,beta,-1.4724423691852782,ET30,-1.5027903144106811,pi_star,-2.4648141522727722,SA,-0.5896346870860927,SB,-1.23731304659502,SP,-1.6599463760898177,SdP,-1.520385016202206,N_mol_cm3,-0.257225114517863,n,-1.2852514089901048,fn,-1.0961559047332747,delta,-1.4131545443625488
alkane,C(C)CC.CCC(C)C,beta,-1.4724423691852782,ET30,-1.5027903144106811,alpha,-0.5624739952482177,pi_star,-2.4648141522727722,SA,-0.5896346870860927,SB,-1.23731304659502,SP,-1.6599463760898177,SdP,-1.520385016202206,N_mol_cm3,-0.257225114517863,n,-1.2852514089901048,fn,-1.0961559047332747,delta,-1.4131545443625488
alkane,C(C)CC.CCC(C)C,beta,-1.4724423691852782,alpha,-0.5624739952482177,ET30,-1.5027903144106811,pi_star,-2.4648141522727722,SA,-0.5896346870860927,SB,-1.23731304659502,SP,-1.6599463760898177,SdP,-1.520385016202206,N_mol_cm3,-0.257225114517863,n,-1.2852514089901048,fn,-1.0961559047332747,delta,-1.4131545443625488
alkane,C(C)(C)CC.CCCC,ET30,-1.5027903144106811,alpha,-0.5624739952482177,beta,-1.4724423691852782,pi_star,-2.4648141522727722,SA,-0.5896346870860927,SB,-1.23731304659502,SP,-1.6599463760898177,SdP,-1.520385016202206,N_mol_cm3,-0.257225114517863,n,-1.2852514089901048,fn,-1.0961559047332747,delta,-1.4131545443625488
alkane,C(C)(C)CC.CCCC,ET30,-1.5027903144106811,beta,-1.4724423691852782,alpha,-0.5624739952482177,pi_star,-2.4648141522727722,SA,-0.5896346870860927,SB,-1.23731304659502,SP,-1.6599463760898177,SdP,-1.520385016202206,N_mol_cm3,-0.257225114517863,n,-1.2852514089901048,fn,-1.0961559047332747,delta,-1.4131545443625488
alkane,C(C)(C)CC.CCCC,alpha,-0.5624739952482177,ET30,-1.5027903144106811,beta,-1.4724423691852782,pi_star,-2.4648141522727722,SA,-0.5896346870860927,SB,-1.23731304659502,SP,-1.6599463760898177,SdP,-1.520385016202206,N_mol_cm3,-0.257225114517863,n,-1.2852514089901048,fn,-1.0961559047332747,delta,-1.4131545443625488
alkane,C(C)(C)CC.CCCC,alpha,-0.5624739952482177,beta,-1.4724423691852782,ET30,-1.5027903144106811,pi_star,-2.4648141522727722,SA,-0.5896346870860927,SB,-1.23731304659502,SP,-1.6599463760898177,SdP,-1.520385016202206,N_mol_cm3,-0.257225114517863,n,-1.2852514089901048,fn,-1.0961559047332747,delta,-1.4131545443625488
alkane,C(C)(C)CC.CCCC,beta,-1.4724423691852782,ET30,-1.5027903144106811,alpha,-0.5624739952482177,pi_star,-2.4648141522727722,SA,-0.5896346870860927,SB,-1.23731304659502,SP,-1.6599463760898177,SdP,-1.520385016202206,N_mol_cm3,-0.257225114517863,n,-1.2852514089901048,fn,-1.0961559047332747,delta,-1.4131545443625488
alkane,C(C)(C)CC.CCCC,beta,-1.4724423691852782,alpha,-0.5624739952482177,ET30,-1.5027903144106811,pi_star,-2.4648141522727722,SA,-0.5896346870860927,SB,-1.23731304659502,SP,-1.6599463760898177,SdP,-1.520385016202206,N_mol_cm3,-0.257225114517863,n,-1.2852514089901048,fn,-1.0961559047332747,delta,-1.4131545443625488
alkane,CC(C)CC.CCCC,ET30,-1.5027903144106811,alpha,-0.5624739952482177,beta,-1.4724423691852782,pi_star,-2.4648141522727722,SA,-0.5896346870860927,SB,-1.23731304659502,SP,-1.6599463760898177,SdP,-1.520385016202206,N_mol_cm3,-0.257225114517863,n,-1.2852514089901048,fn,-1.0961559047332747,delta,-1.4131545443625488
