solvent,SMILES,Property_0,Value_0,Property_1,Value_1,Property_2,Value_2,Property_3,Value_3,Property_4,Value_4,Property_5,Value_5,Property_6,Value_6,Property_7,Value_7,Property_8,Value_8,Property_9,Value_9,Property_10,Value_10,Property_11,Value_11
polyhydric_alcohol,OCCCCO,SdP,1.0710030428731598,n,0.23225090061760736,alpha,,delta,,SB,0.5483498811255489,beta,,pi_star,,ET30,1.6769216267008935,SP,0.5058331575390934,fn,0.25964422825441813,N_mol_cm3,0.5366428599568116,SA,1.4303105851443145
ketone,CCC(=O)CC,beta,-0.008156715476178831,ET30,-0.34106880543069107,SB,0.4134991889130123,n,-0.6382046253811945,SP,-0.3162773032411865,alpha,-0.5661661976383421,N_mol_cm3,-0.021019799169876372,delta,-0.4946795927170881,pi_star,0.6001570490725112,SA,-0.5946880464923098,fn,-0.4966182603035117,SdP,0.8365466650931369
ester,CCOC(=O)C(Cl)(Cl)Cl,SA,,delta,,pi_star,0.16873033442270077,fn,0.3555682019257451,alpha,-0.5661661976383421,N_mol_cm3,-0.657103769736255,n,0.3450877280618983,SP,,SdP,,SB,,beta,-0.6737446983323587,ET30,-0.42633600678836286
monohydric_alcohol,OC1CCCC1,SP,0.2395156843285802,ET30,0.753193611992774,SA,0.6375045170979002,n,0.33058013596191627,beta,,pi_star,,SB,1.3311417042129585,delta,,alpha,,SdP,0.5041528130505726,fn,0.34311398434963425,N_mol_cm3,0.45241256248455136
halohydrocarbon,Clc1ccccc1Cl,N_mol_cm3,-0.14300850585383945,fn,1.6476270296091602,pi_star,0.9139219324541918,SB,-0.9448748570327868,delta,0.0871682101704119,n,1.9248033122819426,SA,-0.4370820209168178,SP,1.733209338422327,SdP,0.5130562198017128,alpha,-0.5661661976383421,beta,-1.4058914794741566,ET30,-0.5258144083723146
amide,CC(=O)N(C)C,SdP,1.4360427196699044,ET30,0.17053440271534454,beta,1.0235046579509,alpha,-0.5661661976383421,SB,0.7193800273463277,SP,0.5058331575390934,SA,-0.46096172176158934,pi_star,1.227686815835872,N_mol_cm3,0.38270473009371514,delta,0.6690160130579119,fn,0.14941115353819584,n,0.10329452639556264
monohydric_alcohol,CCCCCCCO,beta,,SdP,-0.012244778515554146,SP,-0.1541710152000046,delta,,n,-0.12237912849301563,alpha,,pi_star,,N_mol_cm3,-0.7006711649805274,fn,-0.045086627331293073,ET30,0.9663616153869554,SA,0.8476458845318895,SB,1.5811088409971734
misc_N_compound,CN1CCCC1=O,pi_star,1.3845692575267123,SP,1.0732051656832304,n,0.6191200232837415,alpha,-0.5661661976383421,SB,0.5976855002276967,SA,-0.4800654824374065,delta,0.7244300895233878,beta,1.056784057093709,ET30,0.0710560011313938,N_mol_cm3,0.266525009442322,fn,0.5863687021128371,SdP,1.3529442566592633
halohydrocarbon,CCCCCl,alpha,-0.5661661976383421,ET30,-0.6821376108613811,SB,-0.9646091046736458,SA,-0.5946880464923098,beta,-1.5057296769025836,fn,-0.354587183265302,SP,-0.3046982826668164,delta,-0.8271640515099449,N_mol_cm3,0.039974554172105166,SdP,0.07678928899584708,pi_star,-0.6941230948769201,n,-0.47700915760363866
carboxylic_acid,CC(=O)O,fn,-0.8275824678048621,ET30,1.4211200226278762,SA,2.6959347299172043,n,-1.0089542012695714,N_mol_cm3,2.3287150510045533,beta,-0.008156715476178831,SdP,0.5130562198017128,SP,-0.7910171467903611,alpha,1.9963863545884493,pi_star,0.28639216569083104,delta,-0.3561444015533977,SB,-0.13577070375756511
