solvent,SMILES,Property_0,Value_0,Property_1,Value_1,Property_2,Value_2,Property_3,Value_3,Property_4,Value_4,Property_5,Value_5,Property_6,Value_6,Property_7,Value_7,Property_8,Value_8,Property_9,Value_9,Property_10,Value_10,Property_11,Value_11
nitrile,C1=CC=C(C=C1)CC#N,fn,,N_mol_cm3,-0.23262218656748346,pi_star,1.5366088227776467,alpha,-0.5624739952482177,SA,,SdP,,SB,,n,,ET30,0.13280298303841204,beta,-0.09846815221612285,SP,,delta,
alkane,CCCCCC,beta,-1.5067917246095073,N_mol_cm3,-0.44789780613330377,alpha,-0.5624739952482177,ET30,-1.488929354262808,fn,-0.7847997481234208,SA,-0.5896346870860926,n,-0.9451217036913754,pi_star,-2.31661330134498,SdP,-1.5203850162022057,SP,-1.2525687431789632,SB,-1.2272136414254289,delta,-1.2061910400554143
ester,COC(=O)C(Cl)(Cl)Cl,beta,,SP,,pi_star,,SdP,,alpha,,SB,,n,0.3506105069704586,ET30,-0.296886781545672,delta,,N_mol_cm3,-0.2961797504392973,fn,0.3601699865043147,SA,
monohydric_alcohol,COC(=O)C1=CC=CC=C1O,beta,,n,1.6949326755321095,fn,1.479755958147379,delta,,SP,1.3895661902714331,N_mol_cm3,-0.4273953661746542,SdP,0.6628009063555007,SA,0.4076755610175503,SB,-0.6885786990472269,pi_star,,ET30,0.5070489070310006,alpha,
alkane,CCCCCCCCCCCCC,N_mol_cm3,-1.1736841806694973,alpha,,SA,-0.5896346870860926,SP,-0.3912560335960151,ET30,,beta,,SdP,-1.5203850162022057,n,,SB,-1.2474124517646115,delta,,pi_star,,fn,
ester,CCOC(=O)C(Cl)(Cl)Cl,SdP,,SP,,beta,-0.6480578390037851,ET30,-0.4216354228765348,pi_star,0.0916505262316617,fn,0.33235586323387595,alpha,-0.5624739952482177,n,0.3182172017039127,delta,,SA,,N_mol_cm3,-0.5401587859472267,SB,
alkane,CCCCCCCCCCCC,alpha,-0.5624739952482177,delta,-0.9578348348868522,SdP,-1.5203850162022057,ET30,-1.475068394114934,n,-0.18387902992754973,SA,-0.5896346870860926,SB,-1.126219589729516,pi_star,-1.9831613867574445,SP,-0.4727315601781847,fn,-0.10429886810882318,beta,-1.5067917246095073,N_mol_cm3,-1.1162773487852786
ester,CCCOC=O,n,,ET30,,SdP,0.34460376784506586,pi_star,,fn,,delta,,N_mol_cm3,0.09951734076263906,alpha,,SA,-0.5896346870860926,beta,,SB,0.4324552747774061,SP,-0.6589613352231467
ketone,CC(=O)CC(=O)C,alpha,,SA,,N_mol_cm3,-0.011195835014068572,n,0.2599092522241295,SdP,,SB,,delta,,SP,,beta,,fn,0.28212841732803734,pi_star,,ET30,1.0337653926502006
carboxylic_acid,CCC(=O)O,ET30,1.213957874572558,SP,-0.6938794180440772,delta,1.1738892594766361,N_mol_cm3,0.72074127150972,SA,2.179153581621738,pi_star,-0.019500111964183393,SdP,-0.24170392255842083,fn,-0.6235858491675823,beta,0.038929269480792845,alpha,2.0389198437524865,n,-0.766958524725375,SB,-0.14657728827916117
polyhydric_alcohol,C(C(CO)O)O,N_mol_cm3,0.7863490793773984,fn,0.6307500983196421,ET30,2.114920284184347,SB,-0.37549713878989704,SP,1.2149757761667812,alpha,2.2479604201007573,SA,2.3840803449307053,pi_star,0.12870073896361006,beta,0.24502540202616618,n,0.668064898582605,delta,2.7054191913494336,SdP,1.1931294705395592
misc_N_compound,CN1C=CN=C1,beta,,N_mol_cm3,0.5669729718198484,n,,SB,0.7994003292725561,pi_star,,alpha,,ET30,,fn,,SP,1.284811941808642,SdP,1.3050877229784157,SA,-0.275413650012342,delta,
amine,C(CN)N,beta,3.405166101055224,fn,0.380963068949205,SB,,alpha,-0.2605264960784931,SP,,SdP,,delta,,pi_star,-0.427052452015615,N_mol_cm3,1.0528807988398425,n,0.37490548592036527,ET30,0.03577626200329595,SA,
carboxylic_acid,CCCCC(=O)O,SA,1.6964372058272805,pi_star,-0.16770096289197642,beta,0.038929269480792845,SB,0.17660367714775993,n,-0.4025338404767315,delta,0.8220513021545071,fn,-0.2976475308431295,N_mol_cm3,-0.13216023077010092,SdP,-0.707214551119983,ET30,1.879283961670494,SP,-0.4261741164169442,alpha,2.20150695869003
nitrile,C1=CC=C(C=C1)CC#N,alpha,-0.5624739952482177,SB,,delta,,ET30,0.13280298303841204,SP,,SdP,,SA,,pi_star,1.5366088227776467,fn,,N_mol_cm3,-0.23262218656748346,beta,-0.09846815221612285,n,
carboxylic_acid,CCC(C)C(=O)O,SA,1.4095397371947258,beta,,SP,-0.4378134773572543,SB,-0.5741187737918589,SdP,-0.7514085981353212,pi_star,,ET30,,fn,,alpha,,delta,,n,,N_mol_cm3,-0.13216023077010092
monohydric_alcohol,CCCC(C)O,alpha,,SdP,0.4388844014777874,pi_star,,SP,-0.6589613352231467,beta,,SA,0.339366639914561,fn,-0.34355433624093984,SB,1.6679491738574068,N_mol_cm3,-0.1342104747659658,delta,,n,-0.4543631289032063,ET30,0.6595194686576112
ester,CCCOC(=O)C,N_mol_cm3,-0.23262218656748346,alpha,-0.5624739952482177,delta,-0.5646041767032963,SP,-0.6240432524022164,n,-0.8317451352584667,SA,-0.5896346870860926,fn,-0.6821845360577276,SdP,0.12657980256939758,beta,-0.13281750764035158,pi_star,,SB,0.4290888063875423,ET30,-0.5879669446510193
alkane,CCCCCCC,delta,-1.144101988763274,beta,-1.5067917246095073,alpha,-0.5624739952482177,N_mol_cm3,-0.6262690337735548,n,-0.7507618720921002,ET30,-1.475068394114934,pi_star,-2.4648141522727727,fn,-0.6090036874529834,SdP,-1.5203850162022057,SA,-0.5896346870860926,SB,-1.1363189948991073,SP,-1.0314208853130709
carboxylic_acid,CC(=O)O,fn,-0.8733728785380194,n,-1.0423016194910129,SP,-0.8451911102681088,N_mol_cm3,1.5674920418019456,delta,-0.3783370228268752,ET30,1.3802893963470426,SB,-0.10281319921093221,pi_star,0.20280116442750679,SA,2.5480217555778797,alpha,2.0389198437524865,SdP,0.4712933692890354,beta,0.038929269480792845
ether,CC1(C2CCC(O1)(CC2)C)C,N_mol_cm3,-0.7882383094468861,SA,-0.5896346870860926,alpha,-0.5624739952482177,beta,0.5885189562684551,pi_star,,SB,1.0653513320717933,SP,0.1441545696582508,SdP,-0.5098144744514724,fn,0.41012739237840273,n,0.4089184564502382,delta,,ET30,
ether,CCOCC,beta,0.1076279803292505,SA,-0.5896346870860926,pi_star,-1.1680567066545815,fn,-1.111278146511377,alpha,-0.5624739952482177,SdP,-0.3860711428085255,N_mol_cm3,-0.054250958927232626,ET30,-1.0037957490872293,SP,-1.2409293822386531,delta,-1.1027092879018467,SB,0.47621936384563507,n,-1.3014480616233797
alkane,CCCCCC,alpha,-0.5624739952482177,beta,-1.5067917246095073,SP,-1.2525687431789632,SB,-1.2272136414254289,fn,-0.7847997481234208,n,-0.9451217036913754,SdP,-1.5203850162022057,delta,-1.2061910400554143,SA,-0.5896346870860926,ET30,-1.488929354262808,pi_star,-2.31661330134498,N_mol_cm3,-0.44789780613330377
amine,CN(C)C1=CC=CC=C1,SdP,,SB,,N_mol_cm3,-0.394591462240815,ET30,-0.726576546129756,n,2.023724723987549,alpha,-0.5624739952482177,SP,,delta,,pi_star,0.5362530790150416,fn,1.7433150291371593,SA,,beta,-0.029769441367665003
ether,COC1=CC=CC=C1,SB,-0.4091618226885347,alpha,-0.5624739952482177,beta,-0.4076123510341828,SA,-0.2071047289093528,SP,1.1218608886443002,SdP,0.0794394857530368,N_mol_cm3,-0.1424114507494256,fn,1.1897329640459187,n,1.338606317600105,pi_star,0.5362530790150416,ET30,-0.6434107852425138,delta,-0.10928446722759977
misc_N_compound,CC[N+](=O)[O-],fn,-0.5360928788799906,alpha,,n,-0.6697786089257375,delta,0.5323023961245186,SA,-0.5896346870860926,SB,-0.6279822680296792,SP,-0.20502625855105303,N_mol_cm3,0.8499066432492122,ET30,0.2575516243692749,pi_star,,beta,,SdP,1.1371503443201307
ketone,CC(C)CC(=O)CC(C)C,SdP,,fn,-0.24715004490553877,pi_star,,delta,,ET30,-0.5186621439116509,n,-0.34584555626027896,beta,,SP,,alpha,,N_mol_cm3,-0.8517958733186998,SA,,SB,
halohydrocarbon,C(CCl)Cl,SP,0.5515322025691053,SdP,0.6657471761565233,n,0.18864398063772933,SA,-0.45301684488011407,alpha,-0.5624739952482177,beta,-1.1632981703672185,delta,-0.088588116796886,pi_star,0.8326547808706285,SB,-0.9915608541349655,ET30,-0.06125045903182015,fn,0.22055929008862124,N_mol_cm3,0.5710734598115784
monohydric_alcohol,CCO,pi_star,-0.16770096289197642,beta,1.0694099322076596,N_mol_cm3,1.4977837459425372,SP,-1.0546996071936912,SB,0.7994003292725561,fn,-1.021624855969771,SA,1.231936542326954,SdP,0.7865442379984477,n,-1.204268145823742,alpha,1.4350248454130372,ET30,1.4080113166427892,delta,1.0911038577537826
ester,CCOC(=O)C1=CC=CC=C1,fn,1.029599225217087,SP,,pi_star,0.57330329174699,ET30,-0.504801183763777,n,1.1442464860008301,SB,,N_mol_cm3,-0.5852641538562557,SA,,delta,,alpha,-0.5624739952482177,SdP,,beta,-0.09846815221612285
ester,COC(=O)C=C,N_mol_cm3,0.24303442047318566,delta,,beta,,SA,,SP,,fn,-0.44319910795736306,SB,,ET30,-0.40777446272866197,alpha,,n,-0.5661200320727878,pi_star,,SdP,
ester,CCCCOC(=O)C,alpha,-0.5624739952482177,ET30,-0.4493573431722826,SdP,0.05586932734485642,SA,-0.5896346870860926,n,-0.6357656383958645,delta,-0.6266932279954369,pi_star,-0.4641026647475631,fn,-0.5055783552920347,beta,0.038929269480792845,SB,0.35166003342067575,N_mol_cm3,-0.46429975810022345,SP,-0.5774858086409759
aromatic,CCCCC1=CC=CC=C1,delta,,fn,0.8270692014032185,SdP,-1.0018415312222377,N_mol_cm3,-0.704178305616423,alpha,,SA,-0.5896346870860926,n,0.9012966965017379,pi_star,,beta,,SB,-0.9141320811680991,SP,0.4816960369272445,ET30,
