solvent,SMILES,Property_0,Value_0,Property_1,Value_1,Property_2,Value_2,Property_3,Value_3,Property_4,Value_4,Property_5,Value_5,Property_6,Value_6,Property_7,Value_7,Property_8,Value_8,Property_9,Value_9,Property_10,Value_10,Property_11,Value_11
carboxylic_acid,O=CO,SA,,pi_star,0.23985137715945515,n,-1.0034296531711586,SB,,fn,-0.8379976343785287,alpha,2.294413881511484,SdP,,delta,,beta,-0.20151621848880943,SP,,ET30,,N_mol_cm3,3.441730487532528
alkane,CCCCCCC,beta,-1.5067917246095073,alpha,-0.5624739952482176,delta,-1.1441019887632733,SdP,-1.5203850162022057,pi_star,-2.4648141522727727,N_mol_cm3,-0.6303658960524577,SA,-0.5896346870860926,ET30,-1.475068394114934,SB,-1.1363189948991073,SP,-1.0314208853130709,fn,-0.609003687452982,n,-0.7507618720921002
ester,CCOC=O,SdP,0.5626277331207341,beta,-0.27021492933726726,delta,-0.33694432196544694,N_mol_cm3,0.5327950699335123,ET30,-0.11669429962331464,SP,-0.8801091930890391,alpha,-0.5624739952482176,fn,-1.0216248559697694,SA,-0.5896346870860926,n,-1.204268145823742,pi_star,0.0916505262316617,SB,0.190069550707215
alkane,CCCCCCCCC,fn,-0.34787497674896734,beta,,SdP,-1.5203850162022057,n,-0.4592221246931876,SB,-1.2373130465950202,pi_star,,SP,-0.7404368618053176,N_mol_cm3,-0.8741545176978297,ET30,-1.488929354262808,SA,-0.5896346870860926,delta,-1.0613165870404193,alpha,
ether,CC12CCC(CC1)C(C)(C)O2,SB,1.0653513320717933,fn,0.41012739237840423,delta,,beta,0.5885189562684551,n,0.4089184564502382,SdP,-0.5098144744514724,alpha,-0.5624739952482176,N_mol_cm3,-0.7935803122387661,ET30,,SP,0.1441545696582508,pi_star,,SA,-0.5896346870860926
ketone,CC(=O)C(C)C,SdP,,ET30,-0.11669429962331464,SP,,N_mol_cm3,-0.09113852105718562,SB,,delta,,alpha,,n,-1.5443978511224716,beta,,SA,,fn,-1.3364915329923968,pi_star,
ether,CCOCC,SdP,-0.3860711428085255,N_mol_cm3,-0.05395042622992555,fn,-1.1112781465113757,delta,-1.102709287901846,beta,0.1076279803292505,SA,-0.5896346870860926,SP,-1.2409293822386531,n,-1.3014480616233797,pi_star,-1.1680567066545815,ET30,-1.0037957490872293,SB,0.47621936384563507,alpha,-0.5624739952482176
nitrile,N#CCc1ccccc1,beta,-0.09846815221612285,SB,,pi_star,1.5366088227776467,n,,ET30,0.13280298303841204,fn,,N_mol_cm3,-0.23369288456168275,alpha,-0.5624739952482176,delta,,SP,,SdP,,SA,
amide,CN(C)C=O,ET30,0.2021077837777804,SP,0.41185987128538376,pi_star,1.0920062699942668,SA,-0.44846291680658146,fn,0.023430066909791616,SdP,1.3581205793968216,n,-0.038109156228091606,SB,0.6479092517286867,N_mol_cm3,0.6526233754880171,beta,0.863313799662286,alpha,-0.5624739952482176,delta,0.6771768491395136
monohydric_alcohol,CCCCCCCO,SdP,-0.05019638549195533,n,-0.15148572466100388,SA,0.7856515911207573,alpha,,N_mol_cm3,-0.5745837538115675,fn,-0.07594466477488024,pi_star,,SP,-0.20502625855105303,beta,,ET30,0.9367386716150846,delta,,SB,1.6544833002979518
polyhydric_alcohol,C[C@H](O)CO,n,-0.01543384254151203,fn,0.04314298922767353,SP,0.08595776495670017,SA,1.5734811478418997,pi_star,,delta,,beta,,N_mol_cm3,0.7910457284561522,alpha,,SB,0.5974122258807303,ET30,1.7129524398960105,SdP,1.0959025671058151
aromatic,Cc1cc(C)cc(C)c1,SdP,-1.063713197043711,SB,-0.7761068771836848,fn,0.9623592573108845,SP,0.5980896463303458,SA,-0.5896346870860926,beta,-1.0602501040945318,delta,-0.5646041767032955,ET30,-1.2255711114532084,pi_star,-0.649353728407305,alpha,-0.5624739952482176,n,1.0632632228344672,N_mol_cm3,-0.5373956589843074
halohydrocarbon,Brc1ccccc1,pi_star,0.7585543554067318,SB,-0.7693739404039572,SdP,-0.05608892509400042,delta,-0.15067716808902587,fn,1.739534468692636,beta,-1.300695592064134,SP,1.7620257403613573,N_mol_cm3,-0.060148442034469014,SA,-0.5896346870860926,ET30,-0.7127155859818821,n,2.018865728197568,alpha,-0.5624739952482176
ester,COC(=O)c1ccccc1,beta,-0.20151621848880943,SP,1.1684183324055408,N_mol_cm3,-0.3783132533343613,pi_star,,fn,,alpha,-0.5624739952482176,ET30,,n,,SdP,0.4064754336665394,delta,,SB,-0.1432108198892974,SA,-0.5896346870860926
monohydric_alcohol,CCCCCO,SdP,0.20907535699802862,N_mol_cm3,-0.13452463168898915,pi_star,-0.6864039411392531,fn,-0.29035644998582893,SB,1.479426944025036,SP,-0.4261741164169442,SA,0.8630683683708119,n,-0.3944355141600959,ET30,1.0199044325023268,delta,0.3460352422480975,beta,1.4472528418741775,alpha,1.3885713840023102
alkane,C1CCCCCC1,fn,,SA,-0.5896346870860926,beta,,delta,,alpha,,SP,-0.23994434137198342,n,,ET30,,pi_star,,SB,-1.2474124517646115,N_mol_cm3,-0.3287291268980143,SdP,-1.5203850162022057
monohydric_alcohol,OC1CCCCCC1,n,,fn,,delta,,pi_star,,SA,0.2437341503703761,SdP,0.08827829515610446,ET30,,SB,1.651116831908088,beta,,SP,0.5398928416287951,alpha,,N_mol_cm3,-0.2956730426071163
monohydric_alcohol,CC(C)CO,beta,1.3785541310257194,SdP,0.4948635276972158,n,-0.6130903247092813,pi_star,-0.6864039411392531,alpha,1.2724377304754932,SP,-0.775354944626248,SB,1.3716999555493956,N_mol_cm3,0.1960362112199897,SA,0.8266369437825509,fn,-0.4853253529106463,ET30,0.9505996317629585,delta,0.4495169944016649
polyhydric_alcohol,O,SB,-1.3315741615112056,delta,5.623604602080036,SA,4.246636927005546,beta,0.1076279803292505,alpha,2.155053497279303,N_mol_cm3,9.414551717844143,n,-1.6253811142888381,ET30,2.960438853204641,pi_star,1.8700607373651819,fn,-1.4118327018511563,SdP,1.4170459754172726,SP,-0.49601028205880493
ester,O=C1CCCO1,ET30,0.35457834540439,SB,-0.07251498370215832,pi_star,1.0549560572623182,SdP,1.2638399457641,n,0.04287410693827121,delta,1.0497111568923565,SP,0.5980896463303458,beta,0.17632669117770836,alpha,-0.5624739952482176,SA,-0.3300607868947335,N_mol_cm3,0.6794814439743716,fn,0.09418055522876843
ester,CCCOC(C)=O,beta,-0.13281750764035158,n,-0.8317451352584667,fn,-0.6821845360577261,N_mol_cm3,-0.23369288456168275,SA,-0.5896346870860926,ET30,-0.5879669446510193,delta,-0.5646041767032955,SP,-0.6240432524022164,alpha,-0.5624739952482176,SB,0.4290888063875423,pi_star,,SdP,0.12657980256939758
amine,C1CCNCC1,n,0.3182172017039127,ET30,-0.8651861476084928,N_mol_cm3,0.05348184771549257,SP,0.3536630665838331,SB,1.7251791364850908,SA,-0.5896346870860926,beta,2.0655412395102974,alpha,-0.5624739952482176,delta,-0.3162479715347339,pi_star,-1.0569060684587366,fn,0.33235586323387745,SdP,-0.4449965388289765
ester,C=C(C)C(=O)OC,n,-0.3134522509937331,SP,,N_mol_cm3,-0.09320452632536665,SdP,,SA,,ET30,-0.5325231040595249,alpha,,pi_star,,SB,,beta,,delta,,fn,-0.21852580153984374
ketone,CC(C)C(=O)C(C)C,n,-0.5564020404928252,pi_star,,delta,,beta,,fn,-0.4345578269413035,alpha,,ET30,-0.4216354228765348,SA,,SP,,SdP,,N_mol_cm3,-0.5683857380070242,SB,
amine,CNc1ccccc1,alpha,-0.16761957325703924,N_mol_cm3,-0.1241946053480836,fn,1.9058791282517598,SP,,SdP,,SA,,pi_star,0.8697049936025765,SB,,ET30,0.10508106274266431,beta,0.1076279803292505,n,2.229422212430114,delta,
polyhydric_alcohol,OCCCCO,SB,0.5974122258807303,N_mol_cm3,0.3055344904335892,alpha,,SdP,1.0251920918812738,ET30,1.6297866790087683,n,0.20484063327100047,SA,1.3412308160917366,delta,,SP,0.45841731504662425,fn,0.23460137173971818,beta,,pi_star,
halohydrocarbon,ClC(Cl)Cl,SB,-1.1767166155774724,ET30,-0.36619158228504034,N_mol_cm3,0.52866305939715,beta,-1.1632981703672185,SP,0.6912045338528268,SA,-0.3756000676300596,alpha,-0.09793938114094897,pi_star,-0.019500111964183393,fn,0.20651720843752733,n,0.17244732800445461,SdP,0.28862464162563745,delta,-0.3783370228268745
amide,CN(C)P(=O)(N(C)C)N(C)C,N_mol_cm3,-0.8576264755523809,alpha,-0.5624739952482176,SP,0.23726945718073184,n,0.3975807996069484,pi_star,1.0549560572623182,SdP,1.720511764922595,delta,-0.502515125411155,SA,-0.5896346870860926,SB,1.321202929701439,fn,0.40040595123533784,beta,2.0998905949345263,ET30,-0.11669429962331464
ester,COC(C)=O,SA,,N_mol_cm3,0.11546200576092612,pi_star,,fn,,beta,,SB,,ET30,,SP,,n,,alpha,,SdP,,delta,
halohydrocarbon,FC(F)(F)c1ccccc1,fn,-0.20421367985699773,N_mol_cm3,-0.3535211901161878,SA,-0.5258796940566359,alpha,,beta,,SdP,0.4329918618757423,delta,-0.7922640314411442,ET30,-0.4493573431722826,SB,-1.169983678797745,n,-0.2972555983604584,pi_star,,SP,-0.3446985898347746
alkane,CC1CCCCC1,SP,-0.5658464477006657,SB,-1.1834495523572,SdP,-1.5203850162022057,SA,-0.5896346870860926,n,,alpha,,delta,,fn,,beta,,ET30,,pi_star,,N_mol_cm3,-0.4134353428934403
halohydrocarbon,Clc1ccccc1Cl,ET30,-0.5186621439116509,SA,-0.43935506065951624,delta,-0.04719541593545844,SdP,0.4712933692890354,fn,1.6490710580557741,n,1.9054891597646557,SB,-0.9309644231174179,alpha,-0.5624739952482176,N_mol_cm3,-0.17791074232079265,pi_star,0.7956045681386802,beta,-1.4037436583368206,SP,1.6921895747194966
monohydric_alcohol,CCCC(C)O,SP,-0.6589613352231467,beta,,alpha,,n,-0.4543631289032063,ET30,0.6595194686576112,N_mol_cm3,-0.13452463168898915,SA,0.339366639914561,delta,,fn,-0.34355433624093834,SB,1.6679491738574068,pi_star,,SdP,0.4388844014777874
alkane,C1CCCCCCC1,n,,N_mol_cm3,-0.48574552727977943,SdP,-1.5203850162022057,ET30,,alpha,,SP,-0.05371456632702137,fn,,delta,,SB,-1.1868160207470637,pi_star,,SA,-0.5896346870860926,beta,
alkane,CCCCCCCCCCCC,ET30,-1.475068394114934,fn,-0.10429886810882168,SP,-0.4727315601781847,beta,-1.5067917246095073,N_mol_cm3,-1.1241411551477452,delta,-0.9578348348868515,SdP,-1.5203850162022057,SB,-1.126219589729516,n,-0.18387902992754973,SA,-0.5896346870860926,pi_star,-1.9831613867574445,alpha,-0.5624739952482176
monohydric_alcohol,CCCCCCCCO,SB,1.691514452586453,n,-0.07050246149463746,alpha,1.2259842690647664,N_mol_cm3,-0.7171381173160648,beta,1.2755060647530332,SdP,-0.18277852653796986,SP,-0.12355073196888214,pi_star,-0.6864039411392531,delta,0.03558998578739521,SA,0.7719898069001595,fn,-0.004924136424151329,ET30,0.8812948310235902
ketone,CCCC(C)=O,alpha,-0.44634034172140036,SB,0.3920576540990409,ET30,-0.08897237932756691,N_mol_cm3,-0.09113852105718562,delta,-0.502515125411155,beta,0.21067604660193728,n,-0.7021719141922833,fn,-0.5652572023091861,SdP,0.7865442379984477,SP,-0.4028953945363252,pi_star,0.23985137715945515,SA,-0.5440954063507665
alkane,CCCCC,SP,-1.5202740448060963,SB,-1.169983678797745,alpha,-0.5624739952482176,delta,-1.2889764417782676,SdP,-1.5203850162022057,fn,-1.0364770577161204,pi_star,-2.4648141522727727,ET30,-1.488929354262808,SA,-0.5896346870860926,beta,-1.5067917246095073,n,-1.2204647984570132,N_mol_cm3,-0.2295608740253207
ester,CCOC(=O)c1ccccc1,SA,,N_mol_cm3,-0.5890457906888354,pi_star,0.57330329174699,fn,1.0295992252170885,SdP,,n,1.1442464860008301,beta,-0.09846815221612285,delta,,alpha,-0.5624739952482176,SP,,SB,,ET30,-0.504801183763777
ester,COC(C)=O,SP,,pi_star,,SdP,,delta,,fn,,N_mol_cm3,0.11546200576092612,ET30,,n,,SA,,alpha,,SB,,beta,
polyhydric_alcohol,OCCCCO,fn,0.23460137173971818,alpha,,beta,,N_mol_cm3,0.3055344904335892,ET30,1.6297866790087683,SP,0.45841731504662425,delta,,SA,1.3412308160917366,pi_star,,SB,0.5974122258807303,SdP,1.0251920918812738,n,0.20484063327100047
alkane,CCCCCCC,delta,-1.1441019887632733,SdP,-1.5203850162022057,beta,-1.5067917246095073,fn,-0.609003687452982,n,-0.7507618720921002,SP,-1.0314208853130709,alpha,-0.5624739952482176,SB,-1.1363189948991073,pi_star,-2.4648141522727727,N_mol_cm3,-0.6303658960524577,ET30,-1.475068394114934,SA,-0.5896346870860926
ester,CCCOC(C)=O,pi_star,,SB,0.4290888063875423,ET30,-0.5879669446510193,fn,-0.6821845360577261,alpha,-0.5624739952482176,beta,-0.13281750764035158,delta,-0.5646041767032955,n,-0.8317451352584667,SP,-0.6240432524022164,SdP,0.12657980256939758,SA,-0.5896346870860926,N_mol_cm3,-0.23369288456168275
ketone,CCC(C)=O,SP,-0.6356826133425265,pi_star,0.31395180262335187,N_mol_cm3,0.27247840614269125,beta,0.14197733575347943,fn,-0.7291715015825441,delta,-0.3576406723961607,SdP,1.0487622502894542,SA,-0.5896346870860926,alpha,-0.423113611016037,ET30,-0.06125045903182015,SB,0.33482769147135694,n,-0.8835744236849379
amine,CCCCNCCCC,pi_star,,SdP,-0.9046146277884938,ET30,,SP,-0.36797731171539483,n,,SA,-0.5896346870860926,fn,,SB,1.920434303097189,delta,,N_mol_cm3,-0.8183723754569396,alpha,,beta,
amine,CNc1ccccc1,pi_star,0.8697049936025765,beta,0.1076279803292505,fn,1.9058791282517598,ET30,0.10508106274266431,n,2.229422212430114,delta,,SdP,,alpha,-0.16761957325703924,SB,,SA,,N_mol_cm3,-0.1241946053480836,SP,
alkane,CCCCCCCCCCCCCC,delta,,alpha,,SB,-1.2474124517646115,fn,,ET30,,pi_star,,SP,-0.32141986795415434,n,,N_mol_cm3,-1.241903455434069,SdP,-1.5203850162022057,SA,-0.5896346870860926,beta,
